threshold,coverage,precision
0.0,1.0,0.8434352517985612
0.01,1.0,0.8434352517985612
0.02,1.0,0.8434352517985612
0.03,1.0,0.8434352517985612
0.04,1.0,0.8434352517985612
0.05,0.999820143884892,0.8435869760748336
0.06,0.9993705035971223,0.8439665256906326
0.07,0.9972122302158274,0.8452520515826495
0.08,0.996043165467626,0.846244131455399
0.09,0.9951438848920864,0.8466473883968914
0.1,0.9937050359712231,0.8472398190045249
0.11,0.9924460431654676,0.8482239942007974
0.12,0.9906474820143885,0.8494916485112564
0.13,0.9883992805755396,0.8510599581475753
0.14,0.9867805755395683,0.8517269661897384
0.15,0.9841726618705036,0.8529788011695907
0.16,0.9814748201438849,0.8546820597397837
0.17,0.9774280575539568,0.8570245652773945
0.18,0.9743705035971223,0.8590678357175819
0.19,0.9710431654676259,0.8608075569549917
0.2,0.9678956834532374,0.862306048499489
0.21,0.9648381294964029,0.8641998322304035
0.22,0.9615107913669064,0.8662551440329218
0.23,0.9571942446043166,0.8686583990980834
0.24,0.9534172661870504,0.8705904546312017
0.25,0.9492805755395683,0.8723001136794241
0.26,0.9449640287769784,0.8740959269128283
0.27,0.9410071942446043,0.8758600917431193
0.28,0.9357913669064748,0.8783394195656352
0.29,0.9312050359712231,0.8803476581361661
0.3,0.9267985611510792,0.8821075101882399
0.31,0.9223920863309353,0.8841766598420591
0.32,0.918705035971223,0.8861589663273297
0.33,0.9135791366906475,0.8874889260754011
0.34,0.9086330935251798,0.8902414885193982
0.35,0.902158273381295,0.8927432216905901
0.36,0.8973920863309353,0.8950796673013328
0.37,0.8922661870503598,0.8968957871396895
0.38,0.8868705035971223,0.8991076860677347
0.39,0.8816546762589929,0.9008567931456548
0.4,0.8753597122302158,0.9034312718306965
0.41,0.8705935251798561,0.9056915607891747
0.42,0.8643884892086331,0.9080316271327508
0.43,0.8572841726618705,0.9102066505821882
0.44,0.8517086330935252,0.9128919860627178
0.45,0.8454136690647482,0.9145835549409638
0.46,0.8381294964028777,0.9166309012875536
0.47,0.8330035971223022,0.9183849724711217
0.48,0.8267086330935252,0.9203741977591646
0.49,0.8195143884892087,0.9236255898167454
0.5,0.8121402877697842,0.9258110951168198
0.51,0.8047661870503597,0.9293775840876075
0.52,0.7988309352517986,0.9315546549589103
0.53,0.7910071942446043,0.9341746248294679
0.54,0.7843525179856116,0.9364824581518001
0.55,0.7780575539568345,0.9387424872861766
0.56,0.7714028776978418,0.940429004429937
0.57,0.762589928057554,0.9430424528301887
0.58,0.7549460431654677,0.9452054794520548
0.59,0.7473021582733813,0.9477737665463297
0.6,0.7404676258992806,0.9494777750789409
0.61,0.7343525179856115,0.9505265735978448
0.62,0.7268884892086331,0.9533589013979958
0.63,0.7196942446043165,0.9546420092465325
0.64,0.712589928057554,0.9565875820292782
0.65,0.7052158273381295,0.958173935220607
0.66,0.6971223021582734,0.9597523219814241
0.67,0.6878597122302158,0.9618250751732252
0.68,0.6821942446043165,0.9625626153440549
0.69,0.6746402877697841,0.9648093841642229
0.7,0.6674460431654676,0.9659121530584748
0.71,0.6598920863309352,0.9674298173889343
0.72,0.6511690647482015,0.9683745339041568
0.73,0.6434352517985612,0.969811320754717
0.74,0.6350719424460431,0.9704049844236761
0.75,0.6255395683453238,0.9719666474985624
0.76,0.6162769784172661,0.9727126805778491
0.77,0.6049460431654676,0.9742827411922105
0.78,0.5946043165467626,0.9758015728977616
0.79,0.5838129496402877,0.9776648182378311
0.8,0.5717625899280575,0.9792387543252595
0.81,0.5598021582733813,0.9808835341365462
0.82,0.547841726618705,0.9822718319107026
0.83,0.535341726618705,0.9828657819586762
0.84,0.522931654676259,0.9836629406706793
0.85,0.5107014388489208,0.984856488818454
0.86,0.49613309352517987,0.9860431393873482
0.87,0.4762589928057554,0.9879154078549849
0.88,0.46070143884892084,0.9880929143080226
0.89,0.4414568345323741,0.9892035037685883
0.9,0.42176258992805754,0.9899786780383796
0.91,0.4008093525179856,0.9910253533767108
0.92,0.3775179856115108,0.9916626965221534
0.93,0.35242805755395684,0.9920898188313345
0.94,0.32473021582733813,0.993907504846303
0.95,0.29343525179856117,0.9938706711615078
0.96,0.25467625899280577,0.9947033898305084
0.97,0.214568345323741,0.9953897736797989
0.98,0.16429856115107913,0.9978106185002736
0.99,0.09406474820143886,0.997131931166348
